sr_no,Country,year_2000,year_2005,year_2010,year_2015,year_2020
1,Afghanistan,1346,1103,899,776,620
2,Albania,14,11,9,7,8
3,Algeria,159,144,112,89,78
4,Angola,860,550,367,274,222
5,Antigua and Barbuda,51,34,31,27,21
6,Argentina,72,63,55,39,45
7,Armenia,50,38,33,25,27
8,Australia,7,5,5,5,3
9,Austria,6,6,6,6,5
10,Azerbaijan,56,44,33,29,41
11,Bahamas,61,74,79,84,77
12,Bahrain,24,21,20,16,16
13,Bangladesh,441,376,301,212,123
14,Barbados,48,43,53,49,39
15,Belarus,24,11,3,1,1
16,Belgium,8,7,6,5,5
17,Belize,86,72,33,49,130
18,Benin,469,509,598,591,523
19,Bhutan,305,186,117,74,60
20,Bolivia,284,230,184,165,161
21,Bosnia and Herzegovina,16,11,8,7,6
22,Botswana,182,201,156,184,186
23,Brazil,68,70,64,62,72
24,Brunei Darussalam,50,46,42,45,44
25,Bulgaria,22,14,10,8,7
26,Burkina Faso,506,417,357,295,264
27,Burundi,874,713,608,514,494
28,Cabo Verde,125,77,54,47,42
29,Cambodia,606,382,276,209,218
30,Cameroon,651,573,527,447,438
31,Canada,9,11,12,12,11
32,Central African Republic,1315,1158,1052,909,835
33,Chad,1366,1241,1303,1125,1063
34,Chile,33,27,23,16,15
35,China,58,46,33,26,23
36,Colombia,93,82,71,70,75
37,Comoros,456,360,316,261,217
38,Democratic Republic of the Congo,660,488,389,360,282
39,Costa Rica,39,31,27,20,22
40,Ivory Coast,473,540,604,530,480
41,Croatia,11,9,7,6,5
42,Cuba,47,43,41,39,39
43,Cyprus,33,27,27,42,68
44,Czech Republic,8,5,4,4,3
45,Democratic People's Republic of Korea,186,122,130,108,107
46,Democratic Republic of the Congo,668,635,601,578,547
47,Denmark,8,7,7,6,5
48,Djibouti,512,368,274,244,234
49,Dominican Republic,79,87,92,99,107
50,Ecuador,120,92,76,66,66
51,Egypt,79,58,38,24,17
52,El Salvador,49,35,36,44,43
53,Equatorial Guinea,427,258,211,201,212
54,Eritrea,735,546,480,399,322
55,Estonia,25,13,8,6,5
56,Eswatini,588,678,672,338,240
57,Ethiopia,953,880,635,399,267
58,Fiji,49,45,42,39,38
59,Finland,7,8,7,7,8
60,France,9,9,9,8,8
61,Gabon,249,239,193,212,227
62,Gambia,778,718,620,535,458
63,Georgia,53,45,41,30,28
64,Germany,7,7,6,5,4
65,Ghana,499,390,337,286,263
66,Greece,4,3,3,5,8
67,Grenada,42,32,27,23,21
68,Guatemala,152,149,123,107,96
69,Guinea,971,846,741,649,553
70,Guinea Bissau,1300,977,795,713,725
71,Guyana,190,172,148,128,112
72,Haiti,400,363,403,391,350
73,Honduras,82,75,73,67,72
74,Hungary,15,13,15,15,15
75,Iceland,5,4,3,3,3
76,India,384,286,179,128,103
77,Indonesia,299,276,219,194,173
78,Iran,44,30,32,20,22
79,Iraq,117,116,115,102,76
80,Ireland,10,9,7,6,5
81,Israel,9,4,3,3,3
82,Italy,10,8,7,7,5
83,Jamaica,83,86,88,97,99
84,Japan,9,7,6,5,4
85,Jordan,64,58,47,46,41
86,Kazakhstan,56,36,20,13,13
87,Kenya,564,503,476,483,530
88,Kiribati,116,118,131,121,76
89,Kuwait,10,10,9,7,7
90,Kyrgyzstan,87,83,72,61,50
91,Lao People's Democratic Republic,579,442,284,184,126
92,Latvia,32,28,25,22,18
93,Lebanon,32,25,18,19,21
94,Lesotho,545,563,1040,728,566
95,Liberia,777,676,634,686,652
96,Libya,57,50,57,71,72
97,Lithuania,18,11,10,8,9
98,Luxembourg,9,11,8,7,6
99,Madagascar,658,568,497,482,392
100,Malawi,573,347,513,445,381
101,Malaysia,40,32,25,22,21
102,Maldives,114,79,60,57,57
103,Mali,742,560,547,494,440
104,Malta,10,8,5,4,3
105,Mauritania,684,652,586,510,464
106,Mauritius,52,48,55,57,84
107,Mexico,57,53,51,52,59
108,Micronesia (Federated States of),60,57,46,64,74
109,Mongolia,158,94,65,47,39
110,Montenegro,11,10,7,6,6
111,Morocco,244,194,134,97,72
112,Mozambique,532,404,322,226,127
113,Myanmar,371,321,293,243,179
114,Namibia,450,419,482,299,215
115,Nepal,504,380,349,252,174
116,Netherlands,13,10,6,5,4
117,New Zealand,11,10,10,9,7
118,Nicaragua,169,158,98,79,78
119,Niger,867,768,594,491,441
120,Nigeria,1148,1073,1123,1113,1047
121,North Macedonia,12,9,6,5,3
122,Norway,6,6,4,2,2
123,Oman,20,20,18,15,17
124,Pakistan,387,301,230,187,154
125,Panama,66,53,55,49,50
126,Papua New Guinea,312,314,289,208,192
127,Paraguay,148,127,100,80,71
128,Peru,113,97,76,65,69
129,Philippines,129,122,105,88,78
130,Poland,8,5,3,2,2
131,Portugal,11,9,10,10,12
132,Puerto Rico,22,20,21,18,34
133,Qatar,28,19,10,7,8
134,Republic of Korea,16,12,8,6,8
135,Moldova,49,30,18,17,12
136,Romania,50,37,22,15,10
137,Russia,52,31,17,10,14
138,Rwanda,1007,533,386,312,259
139,Saint Lucia,87,82,73,80,73
140,Saint Vincent and the Grenadines,76,54,45,36,62
141,Samoa,75,62,62,58,59
142,Sao Tome and Principe,179,160,160,139,146
143,Saudi Arabia,22,17,15,16,16
144,Senegal,638,519,450,321,261
145,Republic of Serbia,18,16,14,13,10
146,Seychelles,44,15,8,5,3
147,Sierra Leone,1682,1327,837,588,443
148,Singapore,15,13,8,8,7
149,Slovakia,9,7,5,5,5
150,Slovenia,12,9,6,5,5
151,Solomon Islands,150,153,147,141,122
152,Somalia,1097,1080,963,761,621
153,South Africa,173,221,219,141,127
154,South Sudan,1687,1332,1060,1225,1223
155,Spain,5,4,4,4,3
156,Sri Lanka,61,44,37,30,29
157,State of Palestine,62,54,43,26,20
158,Sudan,642,525,383,298,270
159,Suriname,278,190,138,125,96
160,Sweden,6,5,5,4,5
161,Switzerland,8,9,8,6,7
162,Syria,34,23,21,30,30
163,Tajikistan,68,44,32,20,17
164,Thailand,48,40,35,30,29
165,Timor-Leste,750,584,376,285,204
166,Togo,479,494,530,441,399
167,Tonga,94,95,93,86,126
168,Trinidad and Tobago,74,56,47,31,27
169,Tunisia,62,56,44,40,37
170,Turkey,32,25,22,19,17
171,Turkmenistan,26,17,9,6,5
172,Uganda,461,435,372,319,284
173,Ukraine,36,21,17,11,17
174,United Arab Emirates,22,13,9,9,9
175,United Kingdom,11,11,10,8,10
176,United Republic of Tanzania,760,559,486,330,238
177,United States of America,12,13,14,17,21
178,Uruguay,27,20,18,17,19
179,Uzbekistan,43,45,38,31,30
180,Vanuatu,109,98,93,92,94
181,Venezuela,92,95,112,126,259
182,Vietnam,97,78,88,109,124
183,Yemen,275,196,157,164,183
184,Zambia,419,309,268,166,135
185,Zimbabwe,388,533,618,408,357
